site,week_start,log10_conc,z_score,spectral_score,severity,n_obs,n_samples_in_week,in_known_wave,network_onset,sustained_shift
Shieldhall,2020-08-31,3.920,2.892,0.967,AMBER,12,4,,false,true
Fort William,2020-09-28,5.121,22.569,0.913,CRITICAL,8,1,,false,true
Fort William,2020-10-12,4.207,12.938,0.904,CRITICAL,9,1,,false,true
Levenmouth,2020-10-19,4.631,1.545,0.906,AMBER,12,4,,false,true
Fort William,2020-10-26,5.215,22.526,0.871,CRITICAL,10,1,,false,true
Lockerbie,2020-11-09,5.040,4.421,0.918,RED,9,2,,false,false
Lockerbie,2020-11-23,4.309,2.441,0.917,AMBER,11,2,,false,true
Allanfearn,2021-01-04,4.841,2.731,0.861,AMBER,22,3,Alpha wave,false,false
Annan,2021-01-04,6.077,6.093,0.861,CRITICAL,9,1,Alpha wave,false,true
Annan,2021-01-11,5.521,4.423,0.775,RED,10,1,Alpha wave,false,false
Fort William,2021-01-11,5.620,9.954,0.775,CRITICAL,15,1,Alpha wave,false,true
Troqueer,2021-01-11,5.318,3.256,0.775,AMBER,15,1,Alpha wave,false,false
Annan,2021-01-18,4.239,1.210,0.906,AMBER,11,1,Alpha wave,false,true
Armadale,2021-02-08,5.051,1.071,0.826,AMBER,8,1,Alpha wave,true,false
Falkirk,2021-02-08,5.327,1.013,0.826,AMBER,20,1,Alpha wave,true,false
Fort William,2021-02-08,3.747,2.914,0.826,AMBER,18,1,Alpha wave,true,false
Helensburgh,2021-02-08,5.364,2.418,0.826,AMBER,18,1,Alpha wave,true,false
Nairn,2021-02-08,5.063,2.364,0.826,AMBER,15,1,Alpha wave,true,false
Whitburn,2021-02-08,5.688,1.563,0.826,AMBER,9,1,Alpha wave,true,false
Strathaven,2021-02-22,4.889,2.569,0.986,RED,8,1,,false,false
Dalbeattie,2021-03-01,4.603,2.693,0.887,AMBER,14,1,,false,false
Fort William,2021-03-01,4.118,2.948,0.887,AMBER,19,2,,false,true
Springfield,2021-03-15,4.329,2.528,0.863,AMBER,8,2,,false,false
Muirkirk,2021-04-12,4.967,2.760,0.872,AMBER,9,1,,false,false
Dunblane,2021-05-24,4.727,5.189,0.948,CRITICAL,8,2,,false,true
Fort William,2021-05-24,4.410,3.936,0.948,RED,26,1,,false,false
Alva,2021-05-31,4.992,2.612,0.851,AMBER,15,2,,true,false
Annan,2021-05-31,4.048,1.428,0.851,AMBER,26,1,,true,false
Bathgate,2021-05-31,4.529,1.173,0.851,AMBER,21,1,,true,false
Blackburn,2021-05-31,4.617,1.254,0.851,AMBER,23,2,,true,false
Boness,2021-05-31,4.076,1.183,0.851,AMBER,15,1,,true,false
Cumnock,2021-05-31,4.641,1.972,0.851,AMBER,14,1,,true,false
Dalmuir,2021-05-31,4.769,1.024,0.851,AMBER,42,2,,true,false
Dunblane,2021-05-31,3.854,1.460,0.851,AMBER,9,2,,true,false
Fauldhouse,2021-05-31,4.485,1.767,0.851,AMBER,21,2,,true,false
Fort William,2021-05-31,4.593,3.933,0.851,RED,27,2,,true,true
Hatton,2021-05-31,4.490,1.169,0.851,AMBER,39,3,,true,false
Ironmill Bay,2021-05-31,4.448,1.552,0.851,AMBER,17,2,,true,false
Kirkcaldy,2021-05-31,4.687,1.621,0.851,AMBER,18,2,,true,false
Lanark,2021-05-31,4.602,1.329,0.851,AMBER,17,1,,true,false
Newport & Tayport,2021-05-31,3.989,1.182,0.851,AMBER,13,2,,true,false
Paisley,2021-05-31,4.578,1.318,0.851,AMBER,15,2,,true,false
Perth,2021-05-31,4.518,2.084,0.851,AMBER,15,2,,true,false
Philipshill,2021-05-31,4.669,1.060,0.851,AMBER,41,1,,true,false
Seafield,2021-05-31,4.664,1.162,0.851,AMBER,37,3,,true,false
Shieldhall - Barrhead,2021-05-31,4.353,1.160,0.851,AMBER,8,2,,true,false
St Andrews,2021-05-31,4.353,1.163,0.851,AMBER,16,2,,true,false
Stevenston,2021-05-31,4.229,1.067,0.851,AMBER,17,2,,true,false
Stonehouse,2021-05-31,4.177,1.125,0.851,AMBER,18,1,,true,false
Whitburn,2021-05-31,4.194,1.235,0.851,AMBER,24,2,,true,false
Alva,2021-06-07,4.757,1.525,0.798,AMBER,16,2,,true,false
Ardoch,2021-06-07,3.870,1.447,0.798,AMBER,16,2,,true,false
Banff,2021-06-07,3.545,1.794,0.798,AMBER,8,3,,true,false
Blackburn,2021-06-07,4.781,1.192,0.798,AMBER,24,2,,true,false
Bowhouse,2021-06-07,3.737,1.374,0.798,AMBER,15,2,,true,false
Cumnock,2021-06-07,4.386,1.121,0.798,AMBER,15,1,,true,false
Dalmarnock,2021-06-07,4.754,1.340,0.798,AMBER,13,2,,true,false
Dalmuir - Auchinairn (6298),2021-06-07,4.599,5.782,0.798,CRITICAL,8,2,,true,true
Dalmuir - Auchinairn (6330),2021-06-07,4.590,3.180,0.798,AMBER,8,2,,true,false
Dunbar,2021-06-07,4.594,1.660,0.798,AMBER,10,1,,true,false
Dunblane,2021-06-07,4.434,2.709,0.798,AMBER,10,2,,true,false
Forfar,2021-06-07,4.716,2.469,0.798,AMBER,12,2,,true,false
Fort William,2021-06-07,4.461,3.089,0.798,AMBER,28,1,,true,false
Hatton,2021-06-07,4.834,1.503,0.798,AMBER,40,3,,true,false
Inverclyde - Gourock,2021-06-07,5.689,1.305,0.798,AMBER,8,2,,true,false
Kirkcaldy,2021-06-07,4.836,1.697,0.798,AMBER,19,2,,true,false
Kirkwall,2021-06-07,3.809,1.533,0.798,AMBER,21,1,,true,false
Linlithgow,2021-06-07,4.458,2.089,0.798,AMBER,24,2,,true,false
